Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
What approach would you use to sequence a defined number of genes?;Whole genome sequencing;Targeted sequencing;Whole Exome Sequencing;RNAseq;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1;
"Why retinitis pigmentosa presents with ""tunnel vision"" and night blindness?";Because cones which are involved in night vision are present in the periphery of the retina;Because rods which are involved in night vision are present in the periphery of the retina;Because rods and cones which are involved in night vision are present in the    periphery of the retina;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-10;
Which strategy can be employed to overcome the variability of RHODOPSIN gain-of-function mutations?;Silencing and replacement, i.e. silencing of endogenous RHO alleles and their replacement;Gene replacement of RHO;Multiple constructs targeted to each mutation;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-11;
 CFTR, the protein that is affected by mutations in cystic fibrosis, is:;involved in the formation of motile cilia,;a cell adhesion molecule involved in the interaction between epithelial cells and neutrophils,;an active transporter involved in the secretion of chloride,;an ion channel involved in the transport of chloride.;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-12;
 The most frequent mutation in cystic fibrosis is:;G551D;G524X;F508del;F508D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-13;
 Potentiators, among which there is already an approved drug, act by:;improving the trafficking of mutant CFTR protein,;increasing the expression of CFTR protein,;promoting the open state of the CFTR channel,;decreasing the aggregation of CFTR protein;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-14;
" ""Precision medicine"" for cystic fibrosis is based on:";single cell RNA sequencing,;functional and molecular studies on nasal and intestinal cells from patients,;functional and molecular studies on bronchial and intestinal cells from patients,;gene therapy approaches.;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-15;
 Attempts of readthrough therapy in cystic fibrosis:;are aimed at class 3 mutations,;have the aim to bypass F508del mutation,;are limited by the NMD mechanism,;are based on the inhibition of the proteasome.;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-16;
" The ""Human genome project"" has allowed sequencing of the Human genome by using the following technology:";Sanger method;Next-generation sequencing; Zinc Finger technology;CRISPr/Cas9 technology;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-17;
 Genome editing techniques:;Allow DNA substitution of nearly any region of the genome, however they do not allow substitutions of single-point mutations ;Allow precise DNA insertion and substitution, but not DNA deletion;Allow precise DNA deletion and substitution, but not DNA insertion;Allow DNA insertion, deletion or substitution of a precise region of the genom;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-18;
 Which of the following statements is true:;Zinc-Finger and TALEN technologies rely on RNA-mediated DNA recognition, whereas CRISPr-Cas9 relies on protein-mediated DNA recognition;Zinc-Finger and TALEN technologies allow DNA modification by generating double-strand brakes, whereas CRISPr-Cas9 generates single-strand brakes;Zinc-Finger and TALEN technologies rely on Protein-mediated DNA recognition, whereas CRISPr-Cas9 relies on RNA-mediated DNA recognitionX;Zinc-Finger, TALEN and CRISPr/Cas9 technologies allow DNA modification by inducing single-strand breaks in a precise region of the genome;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-19;
What is the advantage of using NGS?;high throughput;low quantitative of starting material;high sequencing depth;all the above answers;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-2;
Applications of CRISPr/Cas9 include:;Genome-wide screenings;Generation of cellular and mouse models of disease;Modulation of gene expression by inducing epigenetic modifications;All of the above;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-20;
 The main advantages of genome editing approaches for therapeutic purposes include:;Promise of permanent repair of the underlying disease-causing mutation;Very high efficiency, nearly 100% of the cells in any organ can be targeted for genome editing with the existing technology;Off-target effects are not an issue with the existing technology;All of the above;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-21;
 Therapeutic approaches using genome editing techniques:;Can only be used for the treatment of inherited genetic disorders, but not for the treatment of viral infections or cancer;Can only be used for recessive genetic diseases;Include in vivo gene editing approaches, by direct infusion of genome editing reagents packaged into vectors, or ex vivo approaches, by reinfusion of gene-edited cells;All of the above;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-22;
 Which of the following statements better define autophagy:;Autophagy is a cellular anabolic process ;Autophagy is a cellular catabolic process;Autophagy is a process required during cellular differentiation;Autophagy is activated during cell cycle;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-23;
 Which of the following represents an autophagy substrate:;mitochondria;glycosaminoglycan;Plasma membrane receptor;Actin filament;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-24;
 In cells affected by lysosomal storage disorders:;Autophagosome biogenesis is inhibited;Autophagosome degradation is impaired;Autophagosome trafficking is inhibited;Autophagy is enhanced to compensate the lysosomal defect;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-25;
 Where Autophagosome biogenesis does occur? ;on specific subdomains of Endoplasmic Reticulum;From Golgi stacks;From the nuclear membrane ;from the fusion of lipids droplets;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-26;
 When autophagy is inhibited in neurons:;Neurons loose their protections against bacterial infections;Nothing happens since autophagy is important in dividing cells;Protein aggregates accumulates within the cytoplasm;Protein synthesis is inhibited;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-27;
What sizes of sequencing depth would you choice to search for cancer drive mutations?;10x fold-coverage;15x fold-coverage;30x fold-coverage;at least 100x fold coverage;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3;
To identify the gene responsible of a Mendelian disease by using NGS;You need to annotate and to filter out the common variants after performing the exome sequencing;You need to annotate and to filter out the rare variants after the exome sequencing;You need to filter out the predicted pathogenic mutations after performing exome sequencing;You need to exclude the variants deposited in ClinVar database after performing exome sequencing;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-4;
What parameters do you need to evaluate the pathogenicity of the causative disease mutations?;Allele frequency in diverse populations;Genomic conservation of the site where the mutation occurred;Effect of mutation on the gene productX;All the above answers;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5;
Why currently the most efficient gene transfer methods for therapy are based on viral vector?;Because they are easy to manipulate;Because they evolved to transfer nucleic acid in the host cells;Because are eliminated by the immune response;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-6;
What is the reason why many Adeno-associated virus vectors serotypes have been identified?;To transduce specifically different cell types;To bypass patent constrains;To trigger specific immune responses;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-7;
What are the Adeno-associated virus genomic characteristics?;Double stranded non integrating virus;Single stranded non integrating virus;Single stranded integrating virus;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-8;
Which were the steps required to initiate the RPE65 gene clinical trial?;Once proof of concept in animal models, toxicity, clinical grade vector and regulatory issue are solved;Once established the safety of vector dosage;Once the proof of concept in animal models;Wahl D;Wahl E;UNKNOWN!;ADE 2020, HUMAN GENETICS;EN;ADE, 2020;2020;Unverified;2020;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-9;
Which of the following molecules is a structural carbohydrate found in plant cell walls?;Cellulose;Glycogen;Chitin;Starch;Hemoglobin;Cellulose;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-1;
The Bohr effect refers to the effect of:;Oxygen binding on hemoglobin structure;Temperature changes on enzymatic activity;pH changes on hemoglobin’s affinity for oxygen;Carbon dioxide transport in plasma;The concentration of bicarbonate ions in the blood;pH changes on hemoglobin’s affinity for oxygen;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-10;
Which of the following blood cells are involved in immune defense?;Erythrocytes;Neutrophils;Platelets;Hepatocytes;Osteocytes;Neutrophils;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-11;
The process by which glucose is converted into pyruvate is called:;Glycogenesis;Glycolysis;Gluconeogenesis;Krebs cycle;Oxidative phosphorylation;Glycolysis;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-12;
Which organ is responsible for producing most plasma proteins?;Heart;Kidney;Liver;Spleen;Pancreas;Liver;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-13;
Which type of bond involves the sharing of electron pairs?;Ionic bond;Hydrogen bond;Covalent bond;Van der Waals forces;Metallic bond;Covalent bond;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-14;
The primary function of hemoglobin is to:;Transport glucose;Bind and transport oxygen;Store oxygen in muscles;Catalyze cellular respiration;Fight infections;Bind and transport oxygen;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-15;
Which vitamin is essential for the clotting of blood?;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin K;Vitamin K;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-16;
In the cardiac cycle, ventricular contraction corresponds to:;Diastole;Systole;Repolarization;Atrial filling;Atrial contraction;Systole;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-17;
The monomer unit of a protein is:;Nucleotide;Monosaccharide;Amino acid;Fatty acid;Polypeptide;Amino acid;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-18;
Which gland regulates metabolism by secreting thyroxine?;Adrenal gland;Pancreas;Pituitary gland;Thyroid gland;Parathyroid gland;Thyroid gland;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-19;
The atomic number of an element represents:;The total number of electrons in a neutral atom;The sum of protons and neutrons in the nucleus;The number of protons in the nucleus;The average mass of isotopes of the element;The total number of neutrons;The number of protons in the nucleus;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-2;
What is the primary structural component of the cell membrane?;Proteins;Cholesterol;Phospholipids;Glycoproteins;Carbohydrates;Phospholipids;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-20;
What is the chemical symbol for potassium?;P;K;Po;Pt;Pd;K;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-21;
Which of the following elements has the highest electronegativity?;Fluorine;Oxygen;Nitrogen;Carbon;Chlorine;Fluorine;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-22;
What type of bond is generally  formed between two nonmetals?;Ionic bond;Metallic bond;Covalent bond;Hydrogen bond;Van der Waals bond;Covalent bond;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-23;
Which of the following compounds is held together by ionic bonds?;H<sub>2</sub>O;CO<sub>2</sub>;NaCl;CH<sub>4</sub>;NH<sub>3</sub>;NaCl;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-24;
The element with the lowest electronegativity in the periodic table is:;Fluorine;Helium;Cesium;Hydrogen;Francium;Francium;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-25;
What is the chemical symbol for gold?;Au;Ag;Gd;Go;Ar;Au;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-26;
In a polar covalent bond:;Electrons are transferred completely;Electrons are equally shared;Electrons are unequally shared;Protons are shared;No electrons are involved;Electrons are unequally shared;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-27;
Which of the following bonds has the greatest bond strength?;Ionic bond;Covalent bond;Metallic bond;Hydrogen bond;Van der Waals forces;Ionic bond;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-28;
The element with an atomic number of 6 is:;Boron;Carbon;Nitrogen;Oxygen;Silicon;Carbon;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-29;
The bond angle in a molecule of water (H<sub>2</sub>O) is approximately:;90°;104.5°;120°;180°;109.5°;104.5°;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-3;
In the periodic table, electronegativity generally:;Increases down a group;Increases across a period;Decreases across a period;Stays constant across a period;Decreases up a group;Increases across a period;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-30;
The mass number of an element represents:;The total number of electrons in a neutral atom;The sum of protons and neutrons in the nucleus;The number of protons in the nucleus;The average mass of isotopes of the element;The total number of neutrons;The sum of protons and neutrons in the nucleus;Admissions;EN;GPT250125;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-31;
The atomic mass of an element represents:;The total number of electrons in a neutral atom;The sum of protons and neutrons in the nucleus;The number of protons in the nucleus;The average mass of isotopes of the element;The total number of neutrons;The average mass of isotopes of the element;Admissions;EN;GPT250125;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-32;
The bond angle in a molecule of methane (CH<sub>4</sub>) is approximately:;90°;104.5°;120°;180°;109.5°;109.5°;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-33;
Which of the following compounds is held together by covalent bonds?;AlCl<sub>3</sub>;KI;Na<sub>2</sub>SO<sub>4</sub>;MgO;NH<sub>3</sub>;NH<sub>3</sub>;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-34;
Which of the following substances is a strong electrolyte in aqueous solution?;Ethanol;Sodium chloride;Glucose;Carbon dioxide;Sucrose;Sodium chloride;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-4;
Which of the following processes occurs in the mitochondria?;Glycolysis;Krebs cycle;Protein synthesis;Calvin cycle;Transcription;Krebs cycle;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-5;
Which of the following statements about enzymes is correct?;They increase the activation energy of reactions;They are consumed during chemical reactions;They are sensitive to changes in pH and temperature;They form permanent bonds with substrates;They are composed of nucleic acids;They are sensitive to changes in pH and temperature;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-6;
Which of the following hormones is secreted by the adrenal medulla?;Cortisol;Aldosterone;Epinephrine;Insulin;Thyroxine;Epinephrine;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-7;
Which of the following elements has the highest electronegativity?;Carbon;Oxygen;Fluorine;Nitrogen;Sulfur;Fluorine;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-8;
Which organelle is responsible for modifying and packaging proteins for secretion?;Ribosome;Lysosome;Golgi apparatus;Mitochondrion;Endoplasmic reticulum;Golgi apparatus;Admissions;EN;GPT250125;2025;Verified;25.01.25;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GPT-9;
